Body_Type,Occasion,Mood,Color_Palette,Outfit
petite,formal,chic,black,"Fitted black velvet dress with a sweetheart neckline, paired with black stilettos and a silver clutch"
petite,party,playful,pastels,Soft pink satin mini skirt with a white off-shoulder top and strappy sandals
tall,casual,minimal,neutrals,"Light gray oversized blazer with a black graphic t-shirt, skinny jeans, and white sneakers"
tall,work,professional,neutrals,"Navy blue pencil skirt with a white blouse, a black blazer, and pointed toe flats"
curvy,party,bold,black,"Black leather high-waisted pants, a sheer black blouse, with a studded clutch and black booties"
curvy,travel,comfy,pastels,Light peach flowy top with light-wash jeans and white slip-on sneakers
athletic,work,minimal,neutrals,Beige trousers with a white button-down shirt tucked in and tan leather loafers
athletic,casual,playful,red,"Red wrap-around dress with a deep V-neck, white sandals, and a wide-brim hat"
average,formal,elegant,black,Black silk wrap dress with a gold chain belt and black heels
average,travel,comfy,neutrals,Gray hoodie with denim shorts and comfortable slip-on shoes
petite,casual,comfy,pastels,Mint green t-shirt dress with white sneakers and a denim jacket
tall,party,bold,red,"Red bodycon dress with a plunging neckline, paired with gold strappy heels"
curvy,work,professional,neutrals,Burgundy sheath dress with a fitted blazer and black pumps
athletic,party,playful,neutrals,Black tank top with a leopard print skirt and ankle boots
average,work,elegant,neutrals,"Black tailored pants with a white blouse, a black leather belt, and heeled boots"
